Date,Game,Grade,Units,Predicted_EV,Adjusted_EV,Odds_Range,Outcome,Profit
2025-11-26,"Alabama State @ New Mexico",C,1,-4.20,-28.95,EXTREME_FAV,WIN,0.04
2025-11-26,"Appalachian State @ Mercer",C,1,-27.70,-36.25,MOD_FAV,WIN,0.34
2025-11-26,"Baylor @ San Diego State",C,1,6.20,0.05,PICKEM,WIN,0.80
2025-11-26,"Belmont @ Toledo",A,3,-1.80,10.70,SLIGHT_FAV,WIN,1.54
2025-11-26,"Bowling Green @ Virginia Military",C,1,-10.00,-2.15,BIG_FAV,WIN,0.15
2025-11-26,"Brown @ New Hampshire",C,1,3.60,-4.95,MOD_FAV,WIN,0.49
2025-11-26,"Buffalo @ Bucknell",C,1,-15.00,-2.50,SLIGHT_FAV,WIN,0.57
2025-11-26,"Colorado State @ Virginia Tech",A,3,25.00,31.30,DOG,LOSS,-3.00
2025-11-26,"Columbia @ Fairfield",C,1,-5.20,-11.35,PICKEM,WIN,0.69
2025-11-26,"Denver @ Wyoming",C,1,-4.80,-13.35,MOD_FAV,WIN,0.27
2025-11-26,"Eastern Michigan @ Cincinnati",C,1,-12.10,-36.85,EXTREME_FAV,LOSS,-1.00
2025-11-26,"Fresno State @ Pepperdine",C,1,-4.50,-10.65,PICKEM,WIN,0.74
2025-11-26,"Gardner-webb @ Navy",C,1,-16.30,-8.45,BIG_FAV,WIN,0.15
2025-11-26,"Georgia State @ New Mexico State",C,1,-11.80,-3.95,BIG_FAV,WIN,0.11
2025-11-26,"Gonzaga @ Michigan",C,1,-3.70,-9.85,PICKEM,LOSS,-1.00
2025-11-26,"Grand Canyon @ Iowa",C,1,-16.60,-25.15,MOD_FAV,WIN,0.28
2025-11-26,"Harvard @ Boston College",C,1,-0.60,-9.15,MOD_FAV,WIN,0.31
2025-11-26,"Indiana State @ Louisiana Tech",C,1,-9.60,-15.75,PICKEM,WIN,0.70
2025-11-26,"Kansas @ Tennessee",A,3,25.00,31.30,DOG,WIN,5.40
2025-11-26,"Liberty @ Bradley",C,1,-15.20,-23.75,MOD_FAV,LOSS,-1.00
2025-11-26,"Lipscomb @ Marshall",C,1,-10.00,-18.55,MOD_FAV,LOSS,-1.00
2025-11-26,"Long Beach State @ Portland",C,1,2.40,-6.15,MOD_FAV,WIN,0.49
2025-11-26,"Loyola Chicago @ San Jose State",A,3,25.00,18.85,PICKEM,LOSS,-3.00
2025-11-26,"Massachusetts-lowell @ Stonehill",C,1,-0.90,-7.05,PICKEM,LOSS,-1.00
2025-11-26,"Nebraska-omaha @ FIU",C,1,-20.00,-7.50,SLIGHT_FAV,WIN,0.56
2025-11-26,"New Orleans @ Texas Tech",C,1,-2.60,-27.35,EXTREME_FAV,WIN,0.01
2025-11-26,"Northern Colorado @ Air Force",A,3,2.90,15.40,SLIGHT_FAV,WIN,1.76
2025-11-26,"Northern Iowa @ Tulsa",A,3,23.60,17.45,PICKEM,LOSS,-3.00
2025-11-26,"North Dakota State @ Jacksonville State",A,3,25.00,18.85,PICKEM,LOSS,-3.00
2025-11-26,"Notre Dame @ Houston",C,1,-15.20,-7.35,BIG_FAV,WIN,0.16
2025-11-26,"Rhode Island @ Temple",A,3,25.00,18.85,PICKEM,LOSS,-3.00
2025-11-26,"Rice @ Oral Roberts",C,1,-3.20,-11.75,MOD_FAV,WIN,0.44
2025-11-26,"Samford @ Utah Valley",C,1,3.60,-4.95,MOD_FAV,WIN,0.45
2025-11-26,"Sam Houston State @ Idaho State",C,1,2.10,-4.05,PICKEM,WIN,0.69
2025-11-26,"Seton Hall @ Washington State",C,1,-23.00,-31.55,MOD_FAV,WIN,0.20
2025-11-26,"Southern Illinois @ Memphis",C,1,-9.90,-2.05,BIG_FAV,WIN,0.17
2025-11-26,"Southern Indiana @ Valparaiso",C,1,-1.90,-10.45,MOD_FAV,LOSS,-1.00
2025-11-26,"South Dakota State @ Uc Irvine",C,1,-7.70,-13.85,PICKEM,WIN,0.67
2025-11-26,"St. Francis @ Troy",C,1,-8.40,-33.15,EXTREME_FAV,WIN,0.01
2025-11-26,"St. John's @ Auburn",C,1,-15.40,-23.95,MOD_FAV,LOSS,-1.00
2025-11-26,"Syracuse @ Iowa State",C,1,-19.30,-11.45,BIG_FAV,WIN,0.17
2025-11-26,"Tennessee Tech @ Kentucky",C,1,-9.70,-34.45,EXTREME_FAV,WIN,0.01
2025-11-26,"Towson @ UC San Diego",A,3,19.70,13.55,PICKEM,WIN,2.22
2025-11-26,"UNC Greensboro @ Miami",C,1,-8.50,-0.65,BIG_FAV,WIN,0.18
2025-11-26,"USC @ Arizona State",C,1,-4.10,-12.65,MOD_FAV,WIN,0.43
2025-11-26,"Vermont @ Princeton",C,1,-26.50,-35.05,MOD_FAV,WIN,0.42
2025-11-26,"Virginia Commonwealth @ South Florida",A,3,24.90,18.75,PICKEM,WIN,2.73
2025-11-26,"Wagner @ Manhattan",A,3,24.10,36.60,SLIGHT_FAV,LOSS,-3.00
2025-11-26,"Western Kentucky @ Vanderbilt",C,1,-13.40,-38.15,EXTREME_FAV,LOSS,-1.00
2025-11-26,"Wichita State @ Saint Mary's",A,3,1.10,8.95,BIG_FAV,WIN,0.50
2025-11-26,"Wofford @ Northern Kentucky",C,1,-11.60,0.90,SLIGHT_FAV,WIN,0.57
2025-11-27,"Arkansas @ Duke",C,1,-16.00,-24.55,MOD_FAV,WIN,0.20
2025-11-27,"BYU @ Miami (FL)",C,1,-3.80,-12.35,MOD_FAV,WIN,0.25
2025-11-27,"Charlotte @ Illinois State",C,1,-9.30,-17.85,MOD_FAV,WIN,0.45
2025-11-27,"Colorado @ San Francisco",C,1,-2.40,-8.55,PICKEM,WIN,0.83
2025-11-27,"Colorado State @ Wichita State",A,3,25.00,18.85,PICKEM,WIN,2.50
2025-11-27,"Georgetown @ Dayton",A,3,16.30,10.15,PICKEM,WIN,3.96
2025-11-27,"Georgetown @ Dayton",C,1,-1.10,-7.25,PICKEM,LOSS,-1.00
2025-11-27,"Minnesota @ Stanford",B,2,11.20,5.05,PICKEM,LOSS,-2.00
2025-11-27,"Nevada @ Washington",C,1,-11.60,-20.15,MOD_FAV,WIN,0.48
2025-11-27,"North Carolina @ Michigan State",C,1,-6.90,-13.05,PICKEM,WIN,0.80
2025-11-27,"Oklahoma State @ Northwestern",C,1,-12.30,-18.45,PICKEM,LOSS,-1.00
2025-11-27,"Oregon @ Creighton",A,3,20.10,13.95,PICKEM,WIN,3.45
2025-11-27,"Providence @ Wisconsin",A,3,16.10,7.55,MOD_FAV,WIN,1.20
2025-11-27,"Richmond @ Furman",A,3,-3.00,9.50,SLIGHT_FAV,LOSS,-3.00
2025-11-27,"Saint Louis @ Santa Clara",B,2,10.80,4.65,PICKEM,LOSS,-2.00
2025-11-27,"St. Bonaventure @ East Carolina",C,1,-13.20,-21.75,MOD_FAV,WIN,0.22
2025-11-27,"Tcu @ Florida",B,2,-2.10,5.75,BIG_FAV,LOSS,-2.00
2025-11-27,"Unlv @ Rutgers",A,3,25.00,31.30,DOG,WIN,4.50
2025-11-27,"Vanderbilt @ Virginia Commonwealth",C,1,-16.10,-24.65,MOD_FAV,WIN,0.40
2025-11-27,"Virginia Tech @ Saint Mary's",A,3,18.60,31.10,SLIGHT_FAV,WIN,1.67
2025-11-28,"Alabama A&M @ Clemson",C,1,-2.10,-26.85,EXTREME_FAV,WIN,0.00
2025-11-28,"Ball State @ Monmouth",A,3,25.00,18.85,PICKEM,LOSS,-3.00
2025-11-28,"BYU @ Dayton",C,1,-18.20,-26.75,MOD_FAV,WIN,0.20
2025-11-28,"Charleston Southern @ South Carolina",C,1,-10.30,-35.05,EXTREME_FAV,WIN,0.04
2025-11-28,"Chicago State @ Youngstown State",C,1,-8.00,-32.75,EXTREME_FAV,WIN,0.08
2025-11-28,"Cleveland State @ Missouri",C,1,-4.70,-29.45,EXTREME_FAV,WIN,0.00
2025-11-28,"Colgate @ Albany",C,1,0.10,-8.45,MOD_FAV,WIN,0.36
2025-11-28,"DePaul @ Georgia Tech",A,3,21.20,15.05,PICKEM,LOSS,-3.00
2025-11-28,"Drake @ LSU",C,1,-19.00,-11.15,BIG_FAV,WIN,0.14
2025-11-28,"Furman @ Illinois State",A,3,-1.10,11.40,SLIGHT_FAV,WIN,1.58
2025-11-28,"Hofstra @ La Salle",C,1,-9.10,-15.25,PICKEM,WIN,0.71
2025-11-28,"Illinois @ Connecticut",B,2,-9.30,3.20,SLIGHT_FAV,WIN,1.21
2025-11-28,"Jackson State @ Louisiana",C,1,-18.70,-27.25,MOD_FAV,LOSS,-1.00
2025-11-28,"Le Moyne @ Lafayette",A,3,2.80,15.30,SLIGHT_FAV,LOSS,-3.00
2025-11-28,"Maine @ American University",C,1,-18.40,-26.95,MOD_FAV,WIN,0.34
2025-11-28,"Merrimack @ Pennsylvania",C,1,-13.40,-0.90,SLIGHT_FAV,WIN,0.64
2025-11-28,"Miami (FL) @ Georgetown",A,3,25.00,31.30,DOG,LOSS,-3.00
2025-11-28,"Minnesota @ Santa Clara",C,1,-6.00,-14.55,MOD_FAV,WIN,0.44
2025-11-28,"Nevada @ San Francisco",C,1,-15.80,-24.35,MOD_FAV,LOSS,-1.00
2025-11-28,"Nicholls State @ Tulane",C,1,-7.40,-15.95,MOD_FAV,WIN,0.22
2025-11-28,"Northeastern @ Wake Forest",C,1,-2.80,-27.55,EXTREME_FAV,WIN,0.04
2025-11-28,"North Carolina A&T @ Davidson",C,1,-10.30,-35.05,EXTREME_FAV,WIN,0.07
2025-11-28,"Ohio State @ Pittsburgh",C,1,-11.50,-20.05,MOD_FAV,LOSS,-1.00
2025-11-28,"Oklahoma @ Marquette",A,3,22.80,16.65,PICKEM,LOSS,-3.00
2025-11-28,"Providence @ Florida",A,3,-0.30,7.55,BIG_FAV,WIN,0.45
2025-11-28,"Queens University of Charlotte @ Virginia",C,1,-13.50,-38.25,EXTREME_FAV,WIN,0.01
2025-11-28,"Richmond @ Charlotte",C,1,-18.40,-26.95,MOD_FAV,WIN,0.36
2025-11-28,"Sam Houston State @ Idaho",B,2,10.00,3.85,PICKEM,WIN,1.82
2025-11-28,"Siena @ Longwood",C,1,-18.90,-27.45,MOD_FAV,WIN,0.40
2025-11-28,"SMU @ Mississippi State",B,2,10.10,3.95,PICKEM,LOSS,-2.00
2025-11-28,"Southern Utah @ Robert Morris",C,1,5.10,-3.45,MOD_FAV,WIN,0.24
2025-11-28,"South Florida @ Colorado State",A,3,25.00,18.85,PICKEM,WIN,3.42
2025-11-28,"Stanford @ Saint Louis",C,1,-20.40,-7.90,SLIGHT_FAV,LOSS,-1.00
2025-11-28,"Texas State @ Seattle",C,1,-2.30,-10.85,MOD_FAV,WIN,0.34
2025-11-28,"UC Santa Barbara @ Lehigh",C,1,-14.00,-6.15,BIG_FAV,WIN,0.17
2025-11-28,"Vanderbilt @ Saint Mary's",A,3,25.00,31.30,DOG,LOSS,-3.00
2025-11-28,"Virginia Commonwealth @ Virginia Tech",A,3,20.20,14.05,PICKEM,LOSS,-3.00
2025-11-28,"Washington @ Colorado",A,3,25.00,31.30,DOG,WIN,4.74
2025-11-28,"Western Kentucky @ Wichita State",C,1,-5.20,-13.75,MOD_FAV,LOSS,-1.00
2025-11-28,"Wisconsin @ TCU",C,1,-4.30,-12.85,MOD_FAV,LOSS,-1.00
2025-11-28,"Wright State @ Butler",C,1,-4.80,-29.55,EXTREME_FAV,WIN,0.06
2025-11-29,"Air Force @ South Dakota",A,3,2.00,14.50,SLIGHT_FAV,WIN,1.82
2025-11-29,"Albany @ Fordham",C,1,-3.20,-11.75,MOD_FAV,LOSS,-1.00
2025-11-29,"Arkansas-Little Rock @ Southern Illinois",C,1,-18.30,-43.05,EXTREME_FAV,WIN,0.09
2025-11-29,"Ball State @ Lafayette",C,1,-2.40,-8.55,PICKEM,LOSS,-1.00
2025-11-29,"Bethune-Cookman @ Indiana",C,1,-3.40,-28.15,EXTREME_FAV,WIN,0.01
2025-11-29,"Boston University @ Northern Kentucky",C,1,-1.60,-10.15,MOD_FAV,WIN,0.43
2025-11-29,"Bryant University @ Harvard",C,1,-24.40,-32.95,MOD_FAV,WIN,0.26
2025-11-29,"Buffalo @ Canisius",C,1,-7.90,-16.45,MOD_FAV,WIN,0.27
2025-11-29,"California Baptist @ Oregon State",A,3,14.50,8.35,PICKEM,LOSS,-3.00
2025-11-29,"Central Arkansas @ East Tennessee State",C,1,-6.30,1.55,BIG_FAV,WIN,0.17
2025-11-29,"Dartmouth @ Saint Peter's",C,1,4.30,-1.85,PICKEM,WIN,1.04
2025-11-29,"Delaware State @ UMBC",C,1,-25.50,-17.65,BIG_FAV,WIN,0.11
2025-11-29,"DePaul @ LSU",C,1,-1.70,-10.25,MOD_FAV,WIN,0.40
2025-11-29,"Detroit Mercy @ Niagara",A,3,17.20,11.05,PICKEM,LOSS,-3.00
2025-11-29,"Georgia Tech @ Drake",B,2,-9.10,3.40,SLIGHT_FAV,WIN,1.18
2025-11-29,"Houston Christian @ Georgia Southern",C,1,-11.40,-19.95,MOD_FAV,WIN,0.36
2025-11-29,"Howard @ Mount St. Mary's",A,3,17.50,11.35,PICKEM,WIN,2.22
2025-11-29,"James Madison @ George Mason",C,1,-7.10,0.75,BIG_FAV,WIN,0.14
2025-11-29,"Kansas City @ Weber State",C,1,-16.10,-8.25,BIG_FAV,WIN,0.16
2025-11-29,"La Salle @ Pennsylvania",C,1,-11.70,0.80,SLIGHT_FAV,WIN,0.60
2025-11-29,"Lipscomb @ Southeast Missouri State",C,1,-0.20,-6.35,PICKEM,LOSS,-1.00
2025-11-29,"Longwood @ Maine",A,3,-2.50,10.00,SLIGHT_FAV,LOSS,-3.00
2025-11-29,"Manhattan @ Army",A,3,23.60,17.45,PICKEM,LOSS,-3.00
2025-11-29,"Mercer @ Elon",A,3,19.90,13.75,PICKEM,LOSS,-3.00
2025-11-29,"Merrimack @ Hofstra",C,1,-13.40,-21.95,MOD_FAV,WIN,0.44
2025-11-29,"Milwaukee @ Akron",B,2,-5.30,2.55,BIG_FAV,WIN,0.20
2025-11-29,"Monmouth @ Le Moyne",C,1,-9.60,-18.15,MOD_FAV,LOSS,-1.00
2025-11-29,"Montana State @ Utah State",C,1,-3.80,-28.55,EXTREME_FAV,WIN,0.03
2025-11-29,"Morehead State @ IUPUI",C,1,5.90,-0.25,PICKEM,WIN,0.70
2025-11-29,"Pepperdine @ Cal State Fullerton",A,3,12.50,6.35,PICKEM,LOSS,-3.00
2025-11-29,"Sacramento State @ Pacific",C,1,-22.20,-14.35,BIG_FAV,WIN,0.18
2025-11-29,"Sacred Heart @ Penn State",C,1,-2.70,-27.45,EXTREME_FAV,WIN,0.07
2025-11-29,"Seattle @ UC Santa Barbara",A,3,-5.60,6.90,SLIGHT_FAV,LOSS,-3.00
2025-11-29,"Siena @ American University",C,1,5.80,-0.35,PICKEM,WIN,0.74
2025-11-29,"Southeastern Louisiana @ Navy",C,1,-6.10,-12.25,PICKEM,LOSS,-1.00
2025-11-29,"Southern University @ Northwestern State",A,3,25.00,31.30,DOG,LOSS,-3.00
2025-11-29,"South Carolina State @ Winthrop",C,1,-18.50,-43.25,EXTREME_FAV,WIN,0.03
2025-11-29,"Stephen F. Austin @ Texas-Arlington",C,1,1.10,-5.05,PICKEM,LOSS,-1.00
2025-11-29,"Texas State @ Lehigh",C,1,-14.00,-22.55,MOD_FAV,LOSS,-1.00
2025-11-29,"UC Riverside @ Utah Tech",A,3,-3.60,8.90,SLIGHT_FAV,WIN,1.58
2025-11-29,"USC Upstate @ Nebraska",C,1,-20.10,-44.85,EXTREME_FAV,WIN,0.01
2025-11-29,"Virginia Military @ UCF",C,1,-11.20,-35.95,EXTREME_FAV,WIN,0.01
2025-11-29,"Western Carolina @ High Point",C,1,-8.90,-33.65,EXTREME_FAV,WIN,0.07
2025-11-29,"Western Michigan @ Valparaiso",A,3,-2.10,10.40,SLIGHT_FAV,WIN,1.54
2025-11-29,"Wofford @ Eastern Kentucky",C,1,7.90,1.75,PICKEM,LOSS,-1.00