Date,Start Time (Sask),Start Time (ET),Visitor,Score,Home,Score,Status,Visitor Goalie,Home Goalie
10/7/2025,3:00 PM,5:00 PM,Chicago Blackhawks,2,Florida Panthers,3,Regulation,Spencer Knight,Sergei Bobrovsky
10/7/2025,6:00 PM,8:00 PM,Pittsburgh Penguins,3,New York Rangers,0,Regulation,Arturs Silovs,Igor Shesterkin
10/7/2025,8:30 PM,10:30 PM,Colorado Avalanche,4,Los Angeles Kings,1,Regulation,Scott Wedgewood,Darcy Kuemper
10/8/2025,5:00 PM,7:00 PM,Montreal Canadiens,2,Toronto Maple Leafs,5,Regulation,Sam Montembeault,Anthony Stolarz
10/8/2025,5:30 PM,7:30 PM,Boston Bruins,3,Washington Capitals,1,Regulation,Jeremy Swayman,Logan Thompson
10/8/2025,8:00 PM,10:00 PM,Calgary Flames,4,Edmonton Oilers,3,SO,Dustin Wolf,Stuart Skinner
10/8/2025,8:00 PM,10:00 PM,Los Angeles Kings,6,Vegas Golden Knights,5,SO,Anton Forsberg,Adin Hill
10/9/2025,5:00 PM,7:00 PM,Chicago Blackhawks,3,Boston Bruins,4,OT,Arvid Soderblom,Joonas Korpisalo
10/9/2025,5:00 PM,7:00 PM,New York Rangers,4,Buffalo Sabres,0,Regulation,Igor Shesterkin,Alex Lyon
10/9/2025,5:00 PM,7:00 PM,Montreal Canadiens,5,Detroit Red Wings,1,Regulation,Jakub Dobes,John Gibson
10/9/2025,5:00 PM,7:00 PM,Ottawa Senators,5,Tampa Bay Lightning,4,Regulation,Linus Ullmark,Andrei Vasilevskiy
10/9/2025,5:00 PM,7:00 PM,Philadelphia Flyers,1,Florida Panthers,2,Regulation,Daniel Vladar,Sergei Bobrovsky
10/9/2025,5:00 PM,7:00 PM,New York Islanders,3,Pittsburgh Penguins,4,Regulation,Ilya Sorokin,Tristan Jarry
10/9/2025,5:00 PM,7:00 PM,New Jersey Devils,3,Carolina Hurricanes,6,Regulation,Jacob Markstrom,Frederik Andersen
10/9/2025,6:00 PM,8:00 PM,Minnesota Wild,5,St. Louis Blues,0,Regulation,Filip Gustavsson,Jordan Binnington
10/9/2025,6:00 PM,8:00 PM,Columbus Blue Jackets,1,Nashville Predators,2,Regulation,Jet Greaves,Juuse Saros
10/9/2025,6:00 PM,8:00 PM,Dallas Stars,5,Winnipeg Jets,4,Regulation,Jake Oettinger,Connor Hellebuyck
10/9/2025,7:00 PM,9:00 PM,Utah Mammoth,1,Colorado Avalanche,2,Regulation,Karel Vejmelka,Scott Wedgewood
10/9/2025,8:00 PM,10:00 PM,Calgary Flames,1,Vancouver Canucks,5,Regulation,Dustin Wolf,Thatcher Demko
10/9/2025,8:00 PM,10:00 PM,Vegas Golden Knights,4,San Jose Sharks,3,OT,Akira Schmid,Alex Nedeljkovic
10/9/2025,8:00 PM,10:00 PM,Anaheim Ducks,1,Seattle Kraken,3,Regulation,Lukas Dostal,Joey Daccord
10/11/2025,11:30 AM,1:30 PM,Los Angeles Kings,2,Winnipeg Jets,3,Regulation,Darcy Kuemper,Connor Hellebuyck
10/11/2025,2:00 PM,4:00 PM,St. Louis Blues,4,Calgary Flames,2,Regulation,Joel Hofer,Dustin Wolf
10/11/2025,5:00 PM,7:00 PM,Buffalo Sabres,1,Boston Bruins,3,Regulation,Alex Lyon,Jeremy Swayman
10/11/2025,5:00 PM,7:00 PM,Toronto Maple Leafs,3,Detroit Red Wings,6,Regulation,Anthony Stolarz,Cameron Talbot
10/11/2025,5:00 PM,7:00 PM,New Jersey Devils,5,Tampa Bay Lightning,3,Regulation,Jacob Markstrom,Andrei Vasilevskiy
10/11/2025,5:00 PM,7:00 PM,Ottawa Senators,2,Florida Panthers,6,Regulation,Linus Ullmark,Sergei Bobrovsky
10/11/2025,5:00 PM,7:00 PM,Washington Capitals,4,New York Islanders,2,Regulation,Logan Thompson,Ilya Sorokin
10/11/2025,5:00 PM,7:00 PM,New York Rangers,6,Pittsburgh Penguins,1,Regulation,Igor Shesterkin,Arturs Silovs
10/11/2025,5:00 PM,7:00 PM,Philadelphia Flyers,3,Carolina Hurricanes,4,OT,Samuel Ersson,Frederik Andersen
10/11/2025,5:00 PM,7:00 PM,Montreal Canadiens,3,Chicago Blackhawks,2,Regulation,Sam Montembeault,Spencer Knight
10/11/2025,6:00 PM,8:00 PM,Utah Mammoth,3,Nashville Predators,2,OT,Karel Vejmelka,Juuse Saros
10/11/2025,6:00 PM,8:00 PM,Columbus Blue Jackets,7,Minnesota Wild,4,Regulation,Elvis Merzlikins,Filip Gustavsson
10/11/2025,7:00 PM,9:00 PM,Dallas Stars,5,Colorado Avalanche,4,SO,Jake Oettinger,Scott Wedgewood
10/11/2025,8:00 PM,10:00 PM,Vancouver Canucks,1,Edmonton Oilers,3,Regulation,Thatcher Demko,Calvin Pickard
10/11/2025,8:00 PM,10:00 PM,Anaheim Ducks,7,San Jose Sharks,6,OT,Petr Mrazek,Yaroslav Askarov
10/11/2025,8:00 PM,10:00 PM,Vegas Golden Knights,1,Seattle Kraken,2,OT,Adin Hill,Joey Daccord
10/12/2025,5:00 PM,7:00 PM,Washington Capitals,1,New York Rangers,0,Regulation,Charlie Lindgren,Jonathan Quick
10/13/2025,10:30 AM,12:30 PM,Colorado Avalanche,3,Buffalo Sabres,1,Regulation,Scott Wedgewood,Alex Lyon
10/13/2025,11:00 AM,1:00 PM,Tampa Bay Lightning,4,Boston Bruins,3,Regulation,Jonas Johansson,Joonas Korpisalo
10/13/2025,11:00 AM,1:00 PM,Nashville Predators,4,Ottawa Senators,1,Regulation,Juuse Saros,Linus Ullmark
10/13/2025,11:00 AM,1:00 PM,Winnipeg Jets,5,New York Islanders,2,Regulation,Eric Comrie,Ilya Sorokin
10/13/2025,2:00 PM,4:00 PM,Detroit Red Wings,3,Toronto Maple Leafs,2,Regulation,Cameron Talbot,Anthony Stolarz
10/13/2025,5:00 PM,7:00 PM,Florida Panthers,2,Philadelphia Flyers,5,Regulation,Daniil Tarasov,Daniel Vladar
10/13/2025,5:00 PM,7:00 PM,New Jersey Devils,3,Columbus Blue Jackets,2,Regulation,Jake Allen,Jet Greaves
10/13/2025,5:30 PM,7:30 PM,St. Louis Blues,5,Vancouver Canucks,2,Regulation,Jordan Binnington,Kevin Lankinen
10/13/2025,6:00 PM,8:00 PM,Los Angeles Kings,3,Minnesota Wild,4,SO,Darcy Kuemper,Jesper Wallstedt
10/13/2025,6:30 PM,8:30 PM,Utah Mammoth,1,Chicago Blackhawks,3,Regulation,Vitek Vanecek,Spencer Knight
10/14/2025,5:00 PM,7:00 PM,Nashville Predators,4,Toronto Maple Leafs,7,Regulation,Justus Annunen,Cayden Primeau
10/14/2025,5:00 PM,7:00 PM,Seattle Kraken,4,Montreal Canadiens,5,OT,Joey Daccord,Sam Montembeault
10/14/2025,5:00 PM,7:00 PM,Edmonton Oilers,2,New York Rangers,0,Regulation,Stuart Skinner,Igor Shesterkin
10/14/2025,5:00 PM,7:00 PM,Tampa Bay Lightning,2,Washington Capitals,3,OT,Andrei Vasilevskiy,Logan Thompson
10/14/2025,7:00 PM,9:00 PM,Vegas Golden Knights,4,Calgary Flames,2,Regulation,Adin Hill,Dustin Wolf
10/14/2025,7:30 PM,9:30 PM,Minnesota Wild,2,Dallas Stars,5,Regulation,Filip Gustavsson,Jake Oettinger
10/14/2025,8:00 PM,10:00 PM,Carolina Hurricanes,5,San Jose Sharks,1,Regulation,Brandon Bussi,Alex Nedeljkovic
10/14/2025,8:30 PM,10:30 PM,Pittsburgh Penguins,3,Anaheim Ducks,4,Regulation,Tristan Jarry,Lukas Dostal
10/15/2025,5:00 PM,7:00 PM,Ottawa Senators,4,Buffalo Sabres,8,Regulation,Leevi Meriläinen,Alex Lyon
10/15/2025,5:00 PM,7:00 PM,Florida Panthers,1,Detroit Red Wings,4,Regulation,Sergei Bobrovsky,Cameron Talbot
10/15/2025,7:30 PM,9:30 PM,Chicago Blackhawks,8,St. Louis Blues,3,Regulation,Arvid Soderblom,Joel Hofer
10/15/2025,7:30 PM,9:30 PM,Calgary Flames,1,Utah Mammoth,3,Regulation,Devin Cooley,Karel Vejmelka
10/16/2025,5:00 PM,7:00 PM,New York Rangers,1,Toronto Maple Leafs,2,OT,Igor Shesterkin,Anthony Stolarz
10/16/2025,5:00 PM,7:00 PM,Nashville Predators,2,Montreal Canadiens,3,OT,Juuse Saros,Jakub Dobes
10/16/2025,5:00 PM,7:00 PM,Seattle Kraken,3,Ottawa Senators,4,SO,Philipp Grubauer,Linus Ullmark
10/16/2025,5:00 PM,7:00 PM,Florida Panthers,1,New Jersey Devils,3,Regulation,Daniil Tarasov,Jake Allen
10/16/2025,5:00 PM,7:00 PM,Edmonton Oilers,2,New York Islanders,4,Regulation,Stuart Skinner,David Rittich
10/16/2025,5:00 PM,7:00 PM,Winnipeg Jets,5,Philadelphia Flyers,2,Regulation,Connor Hellebuyck,Samuel Ersson
10/16/2025,5:00 PM,7:00 PM,Colorado Avalanche,4,Columbus Blue Jackets,1,Regulation,Scott Wedgewood,Elvis Merzlikins
10/16/2025,6:00 PM,8:00 PM,Vancouver Canucks,5,Dallas Stars,3,Regulation,Thatcher Demko,Casey Desmith
10/16/2025,8:00 PM,10:00 PM,Boston Bruins,5,Vegas Golden Knights,6,Regulation,Jeremy Swayman,Akira Schmid
10/16/2025,8:00 PM,10:00 PM,Carolina Hurricanes,4,Anaheim Ducks,1,Regulation,Frederik Andersen,Lukas Dostal
10/16/2025,8:00 PM,10:00 PM,Pittsburgh Penguins,4,Los Angeles Kings,2,Regulation,Arturs Silovs,Anton Forsberg
10/17/2025,5:00 PM,7:00 PM,Tampa Bay Lightning,1,Detroit Red Wings,2,OT,Andrei Vasilevskiy,John Gibson
10/17/2025,5:00 PM,7:00 PM,Minnesota Wild,1,Washington Capitals,5,Regulation,Filip Gustavsson,Logan Thompson
10/17/2025,6:30 PM,8:30 PM,Vancouver Canucks,3,Chicago Blackhawks,2,SO,Kevin Lankinen,Spencer Knight
10/17/2025,7:00 PM,9:00 PM,San Jose Sharks,3,Utah Mammoth,6,Regulation,Yaroslav Askarov,Karel Vejmelka
10/18/2025,11:00 AM,1:00 PM,Florida Panthers,0,Buffalo Sabres,3,Regulation,Sergei Bobrovsky,Alex Lyon
10/18/2025,1:00 PM,3:00 PM,New York Islanders,5,Ottawa Senators,4,Regulation,Ilya Sorokin,Linus Ullmark
10/18/2025,1:30 PM,3:30 PM,Edmonton Oilers,3,New Jersey Devils,5,Regulation,Calvin Pickard,Jake Allen
10/18/2025,5:00 PM,7:00 PM,Seattle Kraken,4,Toronto Maple Leafs,3,OT,Joey Daccord,Anthony Stolarz
10/18/2025,5:00 PM,7:00 PM,New York Rangers,4,Montreal Canadiens,3,Regulation,Jonathan Quick,Sam Montembeault
10/18/2025,5:00 PM,7:00 PM,Minnesota Wild,1,Philadelphia Flyers,2,OT,Jesper Wallstedt,Daniel Vladar
10/18/2025,5:00 PM,7:00 PM,Tampa Bay Lightning,2,Columbus Blue Jackets,3,Regulation,Jonas Johansson,Jet Greaves
10/18/2025,5:00 PM,7:00 PM,Dallas Stars,1,St. Louis Blues,3,Regulation,Jake Oettinger,Jordan Binnington
10/18/2025,5:00 PM,7:00 PM,Nashville Predators,1,Winnipeg Jets,4,Regulation,Juuse Saros,Connor Hellebuyck
10/18/2025,7:00 PM,9:00 PM,Boston Bruins,1,Colorado Avalanche,4,Regulation,Jeremy Swayman,Scott Wedgewood
10/18/2025,7:00 PM,9:00 PM,Carolina Hurricanes,4,Los Angeles Kings,3,OT,Brandon Bussi,Anton Forsberg
10/18/2025,8:00 PM,10:00 PM,Calgary Flames,1,Vegas Golden Knights,6,Regulation,Dustin Wolf,Adin Hill
10/18/2025,8:00 PM,10:00 PM,Pittsburgh Penguins,3,San Jose Sharks,0,Regulation,Tristan Jarry,Alex Nedeljkovic
10/19/2025,10:30 AM,12:30 PM,Vancouver Canucks,4,Washington Capitals,3,Regulation,Thatcher Demko,Charlie Lindgren
10/19/2025,1:00 PM,3:00 PM,Edmonton Oilers,2,Detroit Red Wings,4,Regulation,Stuart Skinner,John Gibson
10/19/2025,5:00 PM,7:00 PM,Anaheim Ducks,1,Chicago Blackhawks,2,OT,Lukas Dostal,Spencer Knight
10/19/2025,5:00 PM,7:00 PM,Boston Bruins,2,Utah Mammoth,3,Regulation,Joonas Korpisalo,Vitek Vanecek
10/20/2025,5:00 PM,7:00 PM,Minnesota Wild,3,New York Rangers,1,Regulation,Filip Gustavsson,Igor Shesterkin
10/20/2025,5:00 PM,7:00 PM,Seattle Kraken,2,Philadelphia Flyers,5,Regulation,Joey Daccord,Daniel Vladar
10/20/2025,5:30 PM,7:30 PM,Buffalo Sabres,2,Montreal Canadiens,4,Regulation,Alex Lyon,Jakub Dobes
10/20/2025,7:30 PM,9:30 PM,Winnipeg Jets,2,Calgary Flames,1,Regulation,Connor Hellebuyck,Dustin Wolf
10/20/2025,8:00 PM,10:00 PM,Carolina Hurricanes,1,Vegas Golden Knights,4,Regulation,Frederik Andersen,Adin Hill
10/21/2025,5:00 PM,7:00 PM,New Jersey Devils,5,Toronto Maple Leafs,2,Regulation,Jake Allen,Anthony Stolarz
10/21/2025,5:00 PM,7:00 PM,Edmonton Oilers,3,Ottawa Senators,2,OT,Stuart Skinner,Linus Ullmark
10/21/2025,5:00 PM,7:00 PM,San Jose Sharks,3,New York Islanders,4,Regulation,Yaroslav Askarov,Ilya Sorokin
10/21/2025,5:00 PM,7:00 PM,Vancouver Canucks,1,Pittsburgh Penguins,5,Regulation,Kevin Lankinen,Arturs Silovs
10/21/2025,5:00 PM,7:00 PM,Seattle Kraken,1,Washington Capitals,4,Regulation,Matt Murray,Logan Thompson
10/21/2025,5:30 PM,7:30 PM,Florida Panthers,4,Boston Bruins,3,Regulation,Sergei Bobrovsky,Jeremy Swayman
10/21/2025,6:00 PM,8:00 PM,Los Angeles Kings,2,St. Louis Blues,1,OT,Darcy Kuemper,Jordan Binnington
10/21/2025,6:00 PM,8:00 PM,Anaheim Ducks,5,Nashville Predators,2,Regulation,Lukas Dostal,Juuse Saros
10/21/2025,6:00 PM,8:00 PM,Columbus Blue Jackets,5,Dallas Stars,1,Regulation,Elvis Merzlikins,Jake Oettinger
10/21/2025,8:00 PM,10:00 PM,Colorado Avalanche,3,Utah Mammoth,4,OT,Scott Wedgewood,Karel Vejmelka
10/22/2025,5:00 PM,7:00 PM,Minnesota Wild,1,New Jersey Devils,4,Regulation,Filip Gustavsson,Nico Daws
10/22/2025,5:30 PM,7:30 PM,Detroit Red Wings,2,Buffalo Sabres,4,Regulation,John Gibson,Colten Ellis
10/22/2025,6:30 PM,8:30 PM,Montreal Canadiens,2,Calgary Flames,1,OT,Jakub Dobes,Dustin Wolf
10/23/2025,5:00 PM,7:00 PM,Anaheim Ducks,7,Boston Bruins,5,Regulation,Petr Mirazek,Joonas Korpisalo
10/23/2025,5:00 PM,7:00 PM,Philadelphia Flyers,1,Ottawa Senators,2,Regulation,Dan Vladar,Linus Ullmark
10/23/2025,5:00 PM,7:00 PM,Chicago Blackhawks,3,Tampa Bay Lightning,2,Regulation,Spencer Knight,Andrei Vasilevskey
10/23/2025,5:00 PM,7:00 PM,Pittsburgh Penguins,5,Florida Panthers,3,Regulation,Tristan Jarry,Sergei Bobrovsky
10/23/2025,5:00 PM,7:00 PM,Detroit Red Wings,2,New York Islanders,7,Regulation,Cam Talbot,David Rittich
10/23/2025,5:00 PM,7:00 PM,San Jose Sharks,6,New York Rangers,5,OT,Alex Nedeljkovic,Igor Shesterkin
10/23/2025,6:00 PM,8:00 PM,Utah Mammoth,7,St. Louis Blues,4,Regulation,Karel Vejmelka,Joel Hofer
10/23/2025,6:00 PM,8:00 PM,Vancouver Canucks,1,Nashville Predators,2,Regulation,Thatcher Demko,Juuse Saros
10/23/2025,6:00 PM,8:00 PM,Los Angeles Kings,3,Dallas Stars,2,OT,Darcy Kuemper,Jake Oettinger
10/23/2025,6:00 PM,8:00 PM,Seattle Kraken,3,Winnipeg Jets,0,SO,Joey Daccord,Connor Hellebuyck
10/23/2025,7:00 PM,9:00 PM,Carolina Hurricanes,5,Colorado Avalanche,4,SO,Frederik Andersen,Scott Wedgewood
10/23/2025,7:00 PM,9:00 PM,Montreal Canadiens,5,Edmonton Oilers,6,Regulation,Sam Montembeault,Calvin Pickard
