i,date,sport,mkt,matchup,side,path,hcTier,agsTier,odds,units,outcome,profit,meanPct,top2Pct,meanClv,nHighPct,nElite,pctEdge,opposed,S1,S5,S8,S8b,S9,forWallets
1,2026-06-01,MLB,ml,2026-06-01_MLB_cws_min,Minnesota Twins,UNTIERED,,PREMIUM,-144,3,WIN,2.08,62.1,63.7,1.91,2,2,,N,KEEP,CUT,KEEP,KEEP,CUT,"4c64aa:59%,70135d:67%,a0d6d2:61%"
2,2026-06-01,MLB,ml,2026-06-01_MLB_det_tbr,Detroit Tigers,UNTIERED,,LOCK,135,1,WIN,1.35,61.4,63.3,2.98,2,4,-9.8,Y,KEEP,CUT,KEEP,KEEP,CUT,"8c1eae:60%,491f30:60%,4c64aa:59%,70135d:67%"
3,2026-06-01,MLB,ml,2026-06-01_MLB_kcr_cin,Kansas City Royals,UNTIERED,,PREMIUM,109,2.5,WIN,2.73,62.4,63.7,3.08,2,3,-6.5,Y,KEEP,CUT,KEEP,KEEP,CUT,"8c1eae:60%,491f30:60%,eeabaf:67%"
4,2026-06-01,MLB,ml,2026-06-01_MLB_mia_wsh,Washington Nationals,UNTIERED,,LEAN,-138,0.5,LOSS,-0.5,58.9,58.9,2.26,0,1,-1.6,Y,CUT,CUT,CUT,CUT,CUT,4c64aa:59%
5,2026-06-01,MLB,total,2026-06-01_MLB_kcr_cin_total,Under 9.5,UNTIERED,,LOCK,-116,1,LOSS,-1,69.8,71.4,4.41,3,3,,Y,KEEP,KEEP,KEEP,KEEP,KEEP,"7923c4:72%,70135d:67%,9a69c2:71%"
6,2026-06-01,MLB,total,2026-06-01_MLB_sfg_mil_total,Under 4.5,UNTIERED,,ELITE,-110,5,LOSS,-5,62.5,62.5,1.77,1,1,-6.1,Y,KEEP,CUT,CUT,KEEP,CUT,"eeabaf:67%,cd2f63:58%"
7,2026-06-01,MLB,total,2026-06-01_MLB_tex_stl_total,Under 5.5,UNTIERED,,PREMIUM,-110,3,WIN,2.73,68.1,73.6,2.84,3,3,,Y,KEEP,KEEP,KEEP,KEEP,KEEP,"b19a27:73%,eeabaf:67%,f9e3d0:74%,cd2f63:58%"
8,2026-06-02,MLB,ml,2026-06-02_MLB_cle_nyy,New York Yankees,UNTIERED,,WEAK,-219,0.25,LOSS,-0.25,65.6,68.9,4.48,2,3,-2.6,Y,KEEP,KEEP,KEEP,KEEP,CUT,"4c64aa:59%,70135d:67%,9a69c2:71%"
9,2026-06-02,MLB,ml,2026-06-02_MLB_det_tbr,Detroit Tigers,UNTIERED,,ELITE,125,2.5,WIN,3.13,59.5,59.5,6.55,1,2,-9.4,Y,CUT,CUT,KEEP,CUT,CUT,"913987:60%,4c64aa:59%"
10,2026-06-02,MLB,ml,2026-06-02_MLB_mia_wsh,Miami Marlins,UNTIERED,,LEAN,-102,0.5,WIN,0.49,62.8,62.8,2.65,1,2,,N,KEEP,CUT,KEEP,KEEP,CUT,"4c64aa:59%,70135d:67%"
11,2026-06-02,MLB,ml,2026-06-02_MLB_pit_hou,Houston Astros,UNTIERED,,LOCK,-112,1,LOSS,-1,58.9,58.9,2.26,0,1,,N,CUT,CUT,CUT,CUT,CUT,4c64aa:59%
12,2026-06-02,MLB,ml,2026-06-02_MLB_tex_stl,St. Louis Cardinals,UNTIERED,,LOCK,-106,1,LOSS,-1,58.9,58.9,2.26,0,1,,N,CUT,CUT,CUT,CUT,CUT,4c64aa:59%
13,2026-06-02,MLB,ml,2026-06-02_MLB_tor_atl,Toronto Blue Jays,UNTIERED,,ELITE,102,2.5,LOSS,-2.5,63.8,67,1.94,2,2,5,Y,KEEP,KEEP,KEEP,KEEP,KEEP,"bc3532:66%,eeabaf:68%,cd2f63:57%"
14,2026-06-02,MLB,total,2026-06-02_MLB_cle_nyy_total,Under 7.5,UNTIERED,,LOCK,-119,1,LOSS,-1,71.5,71.5,1.97,1,1,4.9,Y,KEEP,KEEP,CUT,KEEP,KEEP,7923c4:72%
15,2026-06-02,MLB,total,2026-06-02_MLB_nym_sea_total,Over 7.5,UNTIERED,,PREMIUM,-110,3,WIN,2.73,60,60,10.84,1,1,,N,KEEP,CUT,CUT,KEEP,CUT,913987:60%
16,2026-06-02,MLB,total,2026-06-02_MLB_oak_chc_total,Over 7.5,UNTIERED,,PREMIUM,-110,3,LOSS,-3,60,60,10.84,1,1,-18.1,Y,KEEP,CUT,CUT,KEEP,CUT,913987:60%
17,2026-06-02,NHL,total,2026-06-02_NHL_vgk_car_total,Over 5.5,UNTIERED,,ELITE,-115,5,WIN,4.35,65.3,65.3,4.4,1,1,,N,KEEP,KEEP,CUT,KEEP,KEEP,"4d2125:71%,dfa240:59%"
18,2026-06-03,MLB,ml,2026-06-03_MLB_bal_bos,Boston Red Sox,UNTIERED,,LEAN,-152,0.5,WIN,0.33,67.2,74,4.3,5,5,,N,KEEP,KEEP,KEEP,KEEP,KEEP,"a8c991:77%,4c64aa:61%,8c1eae:61%,70135d:67%,9a69c2:71%"
19,2026-06-03,MLB,ml,2026-06-03_MLB_cle_nyy,Cleveland Guardians,UNTIERED,,LOCK,116,1,WIN,1.16,60.5,60.5,2.66,1,1,-8.4,Y,KEEP,CUT,CUT,KEEP,CUT,4c64aa:61%
20,2026-06-03,MLB,ml,2026-06-03_MLB_det_tbr,Detroit Tigers,UNTIERED,,LOCK,125,1,WIN,1.25,66.3,66.3,2.29,2,2,-2.6,Y,KEEP,KEEP,KEEP,KEEP,CUT,"7923c4:72%,4c64aa:61%"
21,2026-06-03,MLB,ml,2026-06-03_MLB_lad_ari,Arizona Diamondbacks,UNTIERED,,PREMIUM,180,1.5,LOSS,-1.5,60.5,60.5,2.66,1,1,-12.8,Y,KEEP,CUT,CUT,KEEP,CUT,4c64aa:61%
22,2026-06-03,MLB,ml,2026-06-03_MLB_mia_wsh,Washington Nationals,UNTIERED,,LEAN,-108,0.5,LOSS,-0.5,62.4,65.8,4.62,2,3,,N,KEEP,KEEP,KEEP,KEEP,KEEP,"4c64aa:61%,63fc82:56%,9a69c2:71%"
23,2026-06-03,MLB,ml,2026-06-03_MLB_oak_chc,Athletics,UNTIERED,,LEAN,119,0.5,WIN,0.59,59,59,1.78,1,1,-9.1,Y,CUT,CUT,CUT,CUT,CUT,"4c64aa:61%,cd2f63:58%"
24,2026-06-03,MLB,ml,2026-06-03_MLB_pit_hou,Pittsburgh Pirates,UNTIERED,,PREMIUM,-146,3,LOSS,-3,60.5,60.5,2.66,1,1,-9.5,Y,KEEP,CUT,CUT,KEEP,CUT,4c64aa:61%
25,2026-06-03,MLB,ml,2026-06-03_MLB_sdp_phi,Philadelphia Phillies,UNTIERED,,ELITE,-215,5,WIN,2.33,60.5,60.5,2.66,1,1,-10.6,Y,KEEP,CUT,CUT,KEEP,CUT,4c64aa:61%
26,2026-06-03,MLB,ml,2026-06-03_MLB_tex_stl,St. Louis Cardinals,UNTIERED,,PREMIUM,-112,3,WIN,2.68,60.5,60.5,2.66,1,1,,N,KEEP,CUT,CUT,KEEP,CUT,4c64aa:61%
27,2026-06-03,MLB,ml,2026-06-03_MLB_tor_atl,Atlanta Braves,UNTIERED,,LEAN,-148,0.5,WIN,0.34,67.8,67.8,6.34,2,2,1.5,Y,KEEP,KEEP,KEEP,KEEP,KEEP,"913987:75%,4c64aa:61%"
28,2026-06-03,NBA,ml,2026-06-03_NBA_nyk_sas,Spurs,UNTIERED,,WEAK,-190,0.25,LOSS,-0.25,66.4,74,3.33,8,8,1.7,Y,KEEP,KEEP,KEEP,KEEP,KEEP,"2d2ca8:75%,2e8da5:73%,c2aeea:61%,b19a27:73%,52aeeb:72%,0eb6ef:59%,4a0563:57%,af1697:72%,bc3532:66%,c911a4:66%,cd2f63:58%"
29,2026-06-03,MLB,spread,2026-06-03_MLB_lad_ari_spread,Los Angeles Dodgers,UNTIERED,,LOCK,-120,1,WIN,0.83,62.2,62.2,3.21,1,1,-4.5,Y,KEEP,CUT,CUT,KEEP,CUT,1e8f33:62%
30,2026-06-03,NBA,spread,2026-06-03_NBA_nyk_sas_spread,Knicks,UNTIERED,,WEAK,-105,0.25,WIN,0.24,60.1,70.2,-0.48,6,4,-3.7,Y,KEEP,KEEP,KEEP,KEEP,CUT,"7923c4:72%,f2d227:38%,70135d:67%,7703d4:67%,a0d6d2:61%,a1684d:47%,c668b3:61%,eeabaf:68%"
31,2026-06-03,MLB,total,2026-06-03_MLB_kcr_cin_total,Over 7.5,UNTIERED,,PREMIUM,-102,3,LOSS,-3,70.8,70.8,6.53,2,2,-0.3,Y,KEEP,KEEP,KEEP,KEEP,CUT,"913987:75%,70135d:67%"
32,2026-06-03,MLB,total,2026-06-03_MLB_mia_wsh_total,Over 8.5,UNTIERED,,ELITE,-105,5,LOSS,-5,74.2,74.2,7.04,2,2,7.5,Y,KEEP,KEEP,KEEP,KEEP,KEEP,"913987:75%,b19a27:73%"
33,2026-06-03,MLB,total,2026-06-03_MLB_sdp_phi_total,Over 7.5,UNTIERED,,WEAK,-110,0.25,LOSS,-0.25,60.3,61.7,3.03,2,2,-11.7,Y,KEEP,CUT,KEEP,KEEP,CUT,"491f30:63%,8c1eae:61%,cd2f63:58%"
34,2026-06-03,MLB,total,2026-06-03_MLB_sfg_mil_total,Under 8.5,UNTIERED,,PREMIUM,101,2.5,WIN,2.52,72,72,1.92,1,1,5.4,Y,KEEP,KEEP,CUT,KEEP,KEEP,7923c4:72%
35,2026-06-03,MLB,total,2026-06-03_MLB_tex_stl_total,Under 8.5,UNTIERED,,ELITE,-110,5,WIN,4.55,62.5,62.5,3.3,1,1,-2.2,Y,KEEP,CUT,CUT,KEEP,CUT,491f30:63%
36,2026-06-03,MLB,total,2026-06-03_MLB_tor_atl_total,Under 8.5,UNTIERED,,PREMIUM,100,2.5,LOSS,-2.5,72,72,1.92,1,1,5.4,Y,KEEP,KEEP,CUT,KEEP,KEEP,7923c4:72%
37,2026-06-04,MLB,ml,2026-06-04_MLB_bal_bos,Baltimore Orioles,UNTIERED,,LEAN,104,0.5,WIN,0.52,64.1,64.1,2.45,2,2,6.4,Y,KEEP,CUT,KEEP,KEEP,CUT,"bc3532:66%,4c64aa:62%"
38,2026-06-04,MLB,ml,2026-06-04_MLB_kcr_min,Minnesota Twins,UNTIERED,,LOCK,102,1,LOSS,-1,62.2,62.2,3.02,1,1,,N,KEEP,CUT,CUT,KEEP,CUT,4c64aa:62%
39,2026-06-04,MLB,ml,2026-06-04_MLB_lad_ari,Arizona Diamondbacks,UNTIERED,,ELITE,118,2.5,WIN,2.95,67.2,67.2,5.56,2,2,-3.9,Y,KEEP,KEEP,KEEP,KEEP,CUT,"913987:72%,4c64aa:62%"
40,2026-06-04,MLB,ml,2026-06-04_MLB_oak_chc,Chicago Cubs,UNTIERED,,ELITE,-142,5,WIN,3.52,67.2,67.2,5.56,2,2,-3.9,Y,KEEP,KEEP,KEEP,KEEP,CUT,"913987:72%,4c64aa:62%"
41,2026-06-04,MLB,ml,2026-06-04_MLB_pit_hou,Pittsburgh Pirates,UNTIERED,,WEAK,-106,0.25,WIN,0.24,44.1,44.1,0.46,0,0,-18.1,Y,CUT,CUT,CUT,CUT,CUT,c9bba3:44%
42,2026-06-04,MLB,ml,2026-06-04_MLB_sdp_phi,Philadelphia Phillies,UNTIERED,,LOCK,-215,1,WIN,0.47,67.2,69.8,2.64,3,3,-3.9,Y,KEEP,KEEP,KEEP,KEEP,CUT,"4c64aa:62%,7923c4:73%,70135d:67%"
43,2026-06-04,MLB,ml,2026-06-04_MLB_sfg_mil,Milwaukee Brewers,UNTIERED,,LOCK,-188,1,LOSS,-1,62.2,62.2,3.02,1,1,-4.5,Y,KEEP,CUT,CUT,KEEP,CUT,4c64aa:62%
44,2026-06-04,MLB,ml,2026-06-04_MLB_tor_atl,Atlanta Braves,UNTIERED,,LEAN,-250,0.5,LOSS,-0.5,60.9,69.8,1.06,4,2,-10.6,Y,KEEP,KEEP,KEEP,KEEP,CUT,"7923c4:73%,70135d:67%,a0d6d2:60%,c668b3:60%,c9bba3:44%"
45,2026-06-04,NHL,ml,2026-06-04_NHL_vgk_car,Hurricanes,UNTIERED,,WEAK,-160,0.25,WIN,0.16,68.6,70.2,0.8,3,1,19.7,Y,KEEP,KEEP,CUT,KEEP,KEEP,"4d2125:74%,bc3532:66%,bc44b0:65%"
46,2026-06-04,MLB,spread,2026-06-04_MLB_lad_ari_spread,Los Angeles Dodgers,UNTIERED,,ELITE,-111,5,LOSS,-5,68.2,68.2,3.53,1,1,4.6,Y,KEEP,KEEP,CUT,KEEP,KEEP,1e8f33:68%
47,2026-06-04,MLB,total,2026-06-04_MLB_cle_nyy_total,Over 8.5,UNTIERED,,LOCK,-110,1,LOSS,-1,63.6,66.5,4.59,2,2,-2.4,Y,KEEP,KEEP,KEEP,KEEP,CUT,"913987:72%,8c1eae:61%,cd2f63:58%"
48,2026-06-04,MLB,total,2026-06-04_MLB_sfg_mil_total,Over 8.5,UNTIERED,,PREMIUM,-110,3,WIN,2.73,65,65,4.46,1,1,-1,Y,KEEP,KEEP,CUT,KEEP,CUT,"913987:72%,cd2f63:58%"
49,2026-06-04,MLB,total,2026-06-04_MLB_tor_atl_total,Under 7.5,UNTIERED,,ELITE,-118,5,LOSS,-5,72.2,72.2,8.1,1,1,5.6,Y,KEEP,KEEP,CUT,KEEP,KEEP,913987:72%
50,2026-06-05,MLB,ml,2026-06-05_MLB_bal_tor,Toronto Blue Jays,UNTIERED,,WEAK,-145,0.25,LOSS,-0.25,65.4,65.4,3.18,2,2,-0.2,Y,KEEP,KEEP,KEEP,KEEP,CUT,"4c64aa:62%,1e8f33:69%"
51,2026-06-05,MLB,ml,2026-06-05_MLB_bos_nyy,Boston Red Sox,UNTIERED,,LEAN,128,0.5,WIN,0.64,68.8,68.8,3.25,1,1,2.6,Y,KEEP,KEEP,CUT,KEEP,KEEP,1e8f33:69%
52,2026-06-05,MLB,ml,2026-06-05_MLB_cin_stl,St. Louis Cardinals,UNTIERED,,LEAN,-136,0.5,WIN,0.37,41.7,51.9,-6.7,1,1,-15.6,Y,CUT,CUT,CUT,CUT,CUT,"4c64aa:62%,f2d227:42%,d10319:21%"
53,2026-06-05,MLB,ml,2026-06-05_MLB_cle_tex,Cleveland Guardians,UNTIERED,,ELITE,-126,5,LOSS,-5,69,69,5.16,2,2,-2.2,Y,KEEP,KEEP,KEEP,KEEP,CUT,"913987:71%,70135d:66%"
54,2026-06-05,MLB,ml,2026-06-05_MLB_cws_phi,Philadelphia Phillies,UNTIERED,,ELITE,-184,5,WIN,2.72,66.7,69,4.47,3,3,,N,KEEP,KEEP,KEEP,KEEP,KEEP,"913987:71%,4c64aa:62%,70135d:66%"
55,2026-06-05,MLB,ml,2026-06-05_MLB_laa_lad,Los Angeles Dodgers,UNTIERED,,LOCK,-196,1,WIN,0.51,64.3,64.3,3.03,2,2,,N,KEEP,CUT,KEEP,KEEP,CUT,"4c64aa:62%,70135d:66%"
56,2026-06-05,MLB,ml,2026-06-05_MLB_oak_hou,Athletics,UNTIERED,,LOCK,-105,1,LOSS,-1,62.1,62.1,3.11,1,1,,N,KEEP,CUT,CUT,KEEP,CUT,4c64aa:62%
57,2026-06-05,MLB,ml,2026-06-05_MLB_pit_atl,Atlanta Braves,UNTIERED,,LOCK,-142,1,WIN,0.7,67.3,69.9,4.84,3,3,,N,KEEP,KEEP,KEEP,KEEP,KEEP,"1e8f33:69%,4c64aa:62%,9a69c2:71%"
58,2026-06-05,MLB,ml,2026-06-05_MLB_sfg_chc,Chicago Cubs,UNTIERED,,LOCK,-172,1,LOSS,-1,62.1,62.1,3.11,1,1,,N,KEEP,CUT,CUT,KEEP,CUT,4c64aa:62%
59,2026-06-05,MLB,ml,2026-06-05_MLB_tbr_mia,Tampa Bay Rays,UNTIERED,,PREMIUM,-138,3,WIN,2.17,68.8,68.8,3.25,1,1,0.7,Y,KEEP,KEEP,CUT,KEEP,KEEP,1e8f33:69%
60,2026-06-05,NBA,ml,2026-06-05_NBA_nyk_sas,Spurs,UNTIERED,,WEAK,-230,0.25,LOSS,-0.25,70.3,81.6,3.76,9,7,1.7,Y,KEEP,KEEP,KEEP,KEEP,KEEP,"af1697:72%,52aeeb:71%,bbd49f:88%,2e8da5:74%,70135d:66%,769c38:67%,bc3532:66%,bc44b0:65%,cd2f63:57%,f9e3d0:76%"
61,2026-06-05,MLB,spread,2026-06-05_MLB_tbr_mia_spread,Tampa Bay Rays,UNTIERED,,LEAN,126,0.5,WIN,0.63,68.8,68.8,3.25,1,1,,N,KEEP,KEEP,CUT,KEEP,KEEP,1e8f33:69%
62,2026-06-05,NBA,spread,2026-06-05_NBA_nyk_sas_spread,Spurs,UNTIERED,,WEAK,-105,0.25,LOSS,-0.25,67.3,69.7,0.26,3,1,5.4,Y,KEEP,KEEP,CUT,KEEP,KEEP,"10c684:63%,af1697:72%,eeabaf:67%"
63,2026-06-05,MLB,total,2026-06-05_MLB_bal_tor_total,Over 8.5,UNTIERED,,PREMIUM,-106,3,WIN,2.83,64.7,64.7,-7.39,1,0,-4.1,Y,KEEP,CUT,CUT,KEEP,CUT,e05213:65%
64,2026-06-05,MLB,total,2026-06-05_MLB_bos_nyy_total,Over 8,UNTIERED,,LOCK,-112,1,PUSH,0,73.2,73.2,1.78,1,1,6.8,Y,KEEP,KEEP,CUT,KEEP,KEEP,7923c4:73%
65,2026-06-05,MLB,total,2026-06-05_MLB_cin_stl_total,Over 9.5,UNTIERED,,LEAN,-113,0.5,WIN,0.44,70.3,73,3.03,4,4,,N,KEEP,KEEP,KEEP,KEEP,KEEP,"7923c4:73%,b19a27:73%,1e8f33:69%,70135d:66%"
66,2026-06-05,MLB,total,2026-06-05_MLB_pit_atl_total,Over 8.5,UNTIERED,,ELITE,100,2.5,WIN,2.5,71.4,71.4,7.35,1,1,2.6,Y,KEEP,KEEP,CUT,KEEP,KEEP,913987:71%
67,2026-06-05,MLB,total,2026-06-05_MLB_sfg_chc_total,Over 10.5,UNTIERED,,ELITE,-114,5,WIN,4.39,73.2,73.2,1.78,1,1,6.8,Y,KEEP,KEEP,CUT,KEEP,KEEP,7923c4:73%
68,2026-06-06,MLB,ml,2026-06-06_MLB_cin_stl,St. Louis Cardinals,UNTIERED,,PREMIUM,-126,3,WIN,2.38,60.5,60.5,2.6,1,1,-5.9,Y,KEEP,CUT,CUT,KEEP,CUT,4c64aa:61%
69,2026-06-06,MLB,ml,2026-06-06_MLB_cws_phi,Philadelphia Phillies,UNTIERED,,LEAN,-134,0.5,LOSS,-0.5,67.8,67.8,2.73,1,1,-0.4,Y,KEEP,KEEP,CUT,KEEP,CUT,eeabaf:68%
70,2026-06-06,MLB,ml,2026-06-06_MLB_laa_lad,Los Angeles Dodgers,UNTIERED,,PREMIUM,-350,3,WIN,0.86,63.5,63.5,2.78,2,2,-5.4,Y,KEEP,CUT,KEEP,KEEP,CUT,"4c64aa:61%,70135d:66%"
71,2026-06-06,MLB,ml,2026-06-06_MLB_oak_hou,Houston Astros,UNTIERED,,ELITE,-123,5,WIN,4.07,67.8,67.8,2.73,1,1,17.8,Y,KEEP,KEEP,CUT,KEEP,KEEP,eeabaf:68%
72,2026-06-06,MLB,ml,2026-06-06_MLB_sea_det,Detroit Tigers,UNTIERED,,ELITE,112,2.5,LOSS,-2.5,65.8,65.8,2.62,1,1,4.1,Y,KEEP,KEEP,CUT,KEEP,KEEP,"10c684:60%,913987:72%"
73,2026-06-06,MLB,ml,2026-06-06_MLB_wsh_ari,Arizona Diamondbacks,UNTIERED,,ELITE,-152,5,LOSS,-5,60.8,66.3,2.51,2,2,-7.4,Y,KEEP,KEEP,KEEP,KEEP,CUT,"913987:72%,4c64aa:61%,94600d:50%"
74,2026-06-06,MLB,total,2026-06-06_MLB_bal_tor_total,Over 8.5,UNTIERED,,WEAK,-109,0.25,WIN,0.23,72.8,72.8,4.16,2,2,9.7,Y,KEEP,KEEP,KEEP,KEEP,KEEP,"913987:72%,7923c4:74%"
75,2026-06-06,MLB,total,2026-06-06_MLB_bos_nyy_total,Under 8.5,UNTIERED,,PREMIUM,-110,3,WIN,2.73,59.7,59.7,-1.27,0,0,-8.2,Y,CUT,CUT,CUT,CUT,CUT,10c684:60%
76,2026-06-06,MLB,total,2026-06-06_MLB_cin_stl_total,Over 9.5,UNTIERED,,PREMIUM,-110,3,WIN,2.73,69.7,69.7,3.46,2,2,,N,KEEP,KEEP,KEEP,KEEP,KEEP,"b19a27:73%,1e8f33:67%"
77,2026-06-06,MLB,total,2026-06-06_MLB_cle_tex_total,Over 7.5,UNTIERED,,LOCK,-107,1,LOSS,-1,59.7,59.7,-1.27,0,0,-8.6,Y,CUT,CUT,CUT,CUT,CUT,10c684:60%
78,2026-06-06,MLB,total,2026-06-06_MLB_cws_phi_total,Over 9.5,UNTIERED,,ELITE,-110,5,LOSS,-5,67.8,67.8,2.73,1,1,,N,KEEP,KEEP,CUT,KEEP,KEEP,eeabaf:68%
79,2026-06-06,MLB,total,2026-06-06_MLB_laa_lad_total,Under 8.5,UNTIERED,,ELITE,102,2.5,LOSS,-2.5,72,72,6.51,1,1,5.5,Y,KEEP,KEEP,CUT,KEEP,KEEP,913987:72%
80,2026-06-06,MLB,total,2026-06-06_MLB_nym_sdp_total,Under 7.5,UNTIERED,,PREMIUM,-109,3,WIN,2.75,69.5,71,5.63,3,3,,N,KEEP,KEEP,KEEP,KEEP,KEEP,"913987:72%,70135d:66%,9a69c2:70%"
81,2026-06-06,MLB,total,2026-06-06_MLB_oak_hou_total,Under 9.5,UNTIERED,,LOCK,-110,1,LOSS,-1,61.3,61.3,9.25,1,1,,N,KEEP,CUT,CUT,KEEP,CUT,dfa240:61%
82,2026-06-07,MLB,ml,2026-06-07_MLB_bal_tor,Toronto Blue Jays,UNTIERED,,PREMIUM,-136,3,WIN,2.21,59,59,2.19,0,1,-11.6,Y,CUT,CUT,CUT,CUT,CUT,4c64aa:59%
83,2026-06-07,MLB,ml,2026-06-07_MLB_cin_stl,St. Louis Cardinals,UNTIERED,,ELITE,-143,5,WIN,3.5,65.6,65.6,2.45,1,1,,N,KEEP,KEEP,CUT,KEEP,KEEP,1e8f33:66%
84,2026-06-07,MLB,ml,2026-06-07_MLB_cle_tex,Texas Rangers,UNTIERED,,LOCK,-138,1,WIN,0.72,59,59,2.19,0,1,-11.6,Y,CUT,CUT,CUT,CUT,CUT,4c64aa:59%
85,2026-06-07,MLB,ml,2026-06-07_MLB_cws_phi,Philadelphia Phillies,UNTIERED,,PREMIUM,-170,3,WIN,1.76,65.3,68.5,4.16,2,3,,N,KEEP,KEEP,KEEP,KEEP,KEEP,"4c64aa:59%,70135d:66%,9a69c2:71%"
86,2026-06-07,MLB,ml,2026-06-07_MLB_kcr_min,Kansas City Royals,UNTIERED,,WEAK,-120,0.25,WIN,0.21,66.3,66.3,3.84,1,2,-1.3,Y,KEEP,KEEP,KEEP,KEEP,CUT,"913987:74%,4c64aa:59%"
87,2026-06-07,MLB,ml,2026-06-07_MLB_laa_lad,Los Angeles Dodgers,UNTIERED,,WEAK,-200,0.25,LOSS,-0.25,62.7,62.7,2.58,1,2,-14.4,Y,KEEP,CUT,KEEP,KEEP,CUT,"4c64aa:59%,70135d:66%"
88,2026-06-07,MLB,ml,2026-06-07_MLB_mil_col,Colorado Rockies,UNTIERED,,LEAN,154,0.5,LOSS,-0.5,60,63.4,0.47,1,2,,N,KEEP,CUT,KEEP,KEEP,CUT,"4c64aa:59%,10c684:53%,12ad50:68%"
