i,date,sport,mkt,matchup,side,path,hcTier,agsTier,odds,units,outcome,profit,meanPct,top2Pct,meanClv,nHighPct,nElite,pctEdge,opposed,S1,S5,S8,S8b,S9,forWallets
347,2026-07-03,SOC,ml,2026-07-03_SOC_cpv_arg,Argentina,A,CONFIRMED,ELITE,-650,1,LOSS,-1,67.4,84,0.95,4,5,26.3,Y,KEEP,KEEP,KEEP,KEEP,KEEP,"c9bba3:56%,0f9d74:68%,daf4de:46%,4b912c:72%,a82a75:96%,5b1e50:66%"
348,2026-07-03,SOC,ml,2026-07-03_SOC_egy_aus,Egypt,C,SHARP,WEAK,140,2.5,LOSS,-2.5,56.8,60.3,2.61,1,2,-1.9,Y,CUT,CUT,KEEP,KEEP,CUT,"2f2a9e:50%,de3f67:62%,c911a4:59%,cd2f63:56%"
349,2026-07-03,SOC,ml,2026-07-03_SOC_gha_col,Colombia,A,SUPER,ELITE,-235,6,WIN,2.55,60.1,66.4,1.92,4,3,,N,KEEP,KEEP,KEEP,KEEP,KEEP,"4edc5b:64%,946418:67%,7da3d5:64%,fea6f5:41%,c911a4:59%,5b1e50:66%"
350,2026-07-03,MLB,spread,2026-07-03_MLB_min_nyy_spread,Minnesota Twins,C,SHARP,WEAK,-106,3,LOSS,-3,61.7,61.7,1.29,1,1,-3.2,Y,KEEP,CUT,CUT,CUT,CUT,"1e8f33:52%,4b912c:72%"
351,2026-07-03,MLB,total,2026-07-03_MLB_bal_cin_total,Under 9.5,A,TOP+,LOCK,-110,5,WIN,4.55,67.2,67.2,2.18,2,2,14.9,Y,KEEP,KEEP,KEEP,KEEP,KEEP,"ac9705:63%,4b912c:72%"
352,2026-07-03,MLB,total,2026-07-03_MLB_cws_cle_total,Under 8.5,A,TOP+,PREMIUM,-110,5,WIN,4.55,65.8,73.9,2.44,3,3,,N,KEEP,KEEP,KEEP,KEEP,KEEP,"bc44b0:70%,7da3d5:64%,1e8f33:52%,f9e3d0:78%"
353,2026-07-03,MLB,total,2026-07-03_MLB_mil_ari_total,Over 9.5,B,RANK,LEAN,-111,4,WIN,3.6,65.8,65.8,2.33,2,2,9.7,Y,KEEP,KEEP,KEEP,KEEP,KEEP,"5b1e50:66%,70135d:65%"
354,2026-07-03,MLB,total,2026-07-03_MLB_sfg_col_total,Under 11.5,A,TOP+,PREMIUM,-110,5,LOSS,-5,51.7,51.7,-0.38,0,0,,N,CUT,CUT,CUT,CUT,CUT,1e8f33:52%
355,2026-07-03,MLB,total,2026-07-03_MLB_tbr_hou_total,Under 9,B,RANK,PREMIUM,-109,4,WIN,3.67,80.8,80.8,6.02,2,2,24.7,Y,KEEP,KEEP,KEEP,KEEP,KEEP,"a82a75:96%,70135d:65%"
356,2026-07-04,MLB,ml,2026-07-04_MLB_bal_cin,Baltimore Orioles,A,TOP+,PREMIUM,109,2.5,WIN,2.73,74.3,83.9,3.97,4,4,,N,KEEP,KEEP,KEEP,KEEP,KEEP,"7923c4:71%,ac9705:64%,a82a75:96%,70135d:65%"
357,2026-07-04,MLB,ml,2026-07-04_MLB_mia_oak,Miami Marlins,B,RANK,WEAK,-136,4,WIN,2.94,59.4,69.1,0.83,3,3,3.9,Y,CUT,KEEP,KEEP,KEEP,KEEP,"cd2f63:56%,9a69c2:73%,f2f960:44%,1e8f33:52%,70135d:65%,eeabaf:65%"
358,2026-07-04,MLB,ml,2026-07-04_MLB_mil_ari,Milwaukee Brewers,A,TOP+,ELITE,-149,5,LOSS,-5,58,58,0.61,1,1,-10.7,Y,CUT,CUT,CUT,CUT,CUT,"ac9705:64%,1e8f33:52%"
359,2026-07-04,SOC,ml,2026-07-04_SOC_fra_par,France,A,SUPER,ELITE,-525,6,WIN,1.14,50.5,63,-0.37,2,2,24.8,Y,CUT,CUT,CUT,CUT,CUT,"4edc5b:60%,95eb4c:50%,c911a4:59%,a0cff6:47%,138d9b:21%,5b1e50:66%"
360,2026-07-04,SOC,ml,2026-07-04_SOC_mar_can,Morocco,C,SHARP,WEAK,-120,3,WIN,2.5,54.8,80.6,4.14,7,8,-12.9,Y,CUT,KEEP,KEEP,KEEP,CUT,"de3f67:61%,cd2f63:56%,c2aeea:59%,fea6f5:42%,1e8f33:52%,7da3d5:60%,388d4c:26%,ad4d8b:83%,0f9d74:69%,2f2a9e:51%,4edc5b:60%,5b1e50:66%,78e8f1:43%,7a4cdf:28%,b839b3:52%,bc35e3:78%,c911a4:59%,cad739:40%"
361,2026-07-04,MLB,spread,2026-07-04_MLB_bal_cin_spread,Baltimore Orioles,A,TOP,ELITE,-192,4,WIN,2.08,60.2,68.1,-1.67,2,2,,N,KEEP,KEEP,KEEP,KEEP,KEEP,"f2f960:44%,4b912c:70%,5b1e50:66%"
362,2026-07-04,MLB,spread,2026-07-04_MLB_nym_atl_spread,New York Mets,A,TOP,PREMIUM,-143,4,LOSS,-4,53.5,53.5,-4.02,1,1,,N,CUT,CUT,CUT,CUT,CUT,"f2f960:44%,8ec926:63%"
363,2026-07-04,MLB,total,2026-07-04_MLB_det_tex_total,Under 8.5,A,TOP+,LEAN,-107,5,WIN,4.67,63.6,63.6,3.09,2,2,6.2,Y,KEEP,CUT,KEEP,KEEP,CUT,"ad88a3:61%,5b1e50:66%"
364,2026-07-04,MLB,total,2026-07-04_MLB_min_nyy_total,Over 9.5,A,TOP,ELITE,-110,4,WIN,3.64,66,66,1.78,1,1,,N,KEEP,KEEP,KEEP,KEEP,KEEP,5b1e50:66%
365,2026-07-04,MLB,total,2026-07-04_MLB_pit_wsh_total,Under 10.5,B,RANK,PREMIUM,-110,4,WIN,3.64,62.5,68.1,1.4,2,2,,N,KEEP,KEEP,KEEP,KEEP,KEEP,"2f2a9e:51%,4b912c:70%,5b1e50:66%"
366,2026-07-04,MLB,total,2026-07-04_MLB_sfg_col_total,Over 12.5,A,TOP+,PREMIUM,101,5,LOSS,-5,65.4,72,1.98,3,3,,N,KEEP,KEEP,KEEP,KEEP,KEEP,"1e8f33:52%,5b1e50:66%,70135d:65%,bc35e3:78%"
367,2026-07-04,MLB,total,2026-07-04_MLB_stl_chc_total,Over 8.5,C,SHARP,WEAK,-110,3,LOSS,-3,61.1,61.1,1.07,1,1,6.7,Y,KEEP,CUT,CUT,CUT,CUT,"1e8f33:52%,4b912c:70%"
368,2026-07-05,MLB,ml,2026-07-05_MLB_bos_laa,Boston Red Sox,A,MINI-,LOCK,-154,1,WIN,0.65,62.6,65.8,1.62,2,2,,N,KEEP,KEEP,KEEP,KEEP,KEEP,"cd2f63:56%,5b1e50:66%,70135d:65%"
369,2026-07-05,MLB,ml,2026-07-05_MLB_min_nyy,New York Yankees,A,TOP,PREMIUM,-131,4,LOSS,-4,59.1,67.8,-1.83,2,2,,N,CUT,KEEP,CUT,CUT,KEEP,"0f9d74:70%,f2f960:42%,5b1e50:66%"
370,2026-07-05,MLB,ml,2026-07-05_MLB_nym_atl,Atlanta Braves,A,TOP+,LEAN,-105,5,LOSS,-5,56.4,58.7,0.11,1,0,-7.7,Y,CUT,CUT,CUT,CUT,CUT,"7703d4:64%,2f2a9e:52%,1e8f33:53%"
371,2026-07-05,MLB,ml,2026-07-05_MLB_stl_chc,Chicago Cubs,A,TOP,PREMIUM,-142,4,WIN,2.82,67.8,67.8,1.68,2,2,,N,KEEP,KEEP,KEEP,KEEP,KEEP,"0f9d74:70%,5b1e50:66%"
372,2026-07-05,MLB,ml,2026-07-05_MLB_tbr_hou,Tampa Bay Rays,C,SHARP-PRIME,PREMIUM,103,2.5,LOSS,-2.5,83,83,5.3,2,2,30.8,Y,KEEP,KEEP,KEEP,KEEP,KEEP,"4b912c:69%,a82a75:97%"
373,2026-07-05,SOC,ml,2026-07-05_SOC_eng_mex,England,C,SHARP,WEAK,155,1.5,WIN,2.33,55.6,69.4,1.35,6,7,9.3,Y,CUT,KEEP,KEEP,KEEP,KEEP,"06c80c:44%,c9bba3:54%,bc44b0:69%,0f9d74:70%,7da3d5:62%,c911a4:60%,7a4cdf:27%,bc8b21:67%,a0cff6:47%,4b912c:69%,8da2ca:33%,5b1e50:66%"
374,2026-07-05,SOC,ml,2026-07-05_SOC_nor_bra,Brazil,A,CONFIRMED,LEAN,-130,1,LOSS,-1,45.2,60.8,0.11,1,3,-15.7,Y,CUT,CUT,CUT,CUT,CUT,"8bbab3:13%,de3f67:60%,7da3d5:62%,fea6f5:45%,2f2a9e:52%,7a4cdf:27%,8da2ca:33%,c911a4:60%,cd2f63:56%"
375,2026-07-05,MLB,spread,2026-07-05_MLB_sdp_lad_spread,San Diego Padres,A,SUPER,ELITE,-105,6,WIN,5.71,67.5,81.5,1.13,3,3,,N,KEEP,KEEP,KEEP,KEEP,KEEP,"f2f960:42%,a82a75:97%,5b1e50:66%,70135d:65%"
376,2026-07-05,MLB,total,2026-07-05_MLB_mil_ari_total,Over 9.5,A,MINI-,PREMIUM,-111,1,LOSS,-1,66.1,66.1,1.7,1,1,,N,KEEP,KEEP,KEEP,KEEP,KEEP,5b1e50:66%
377,2026-07-05,MLB,total,2026-07-05_MLB_min_nyy_total,Under 8.5,A,MINI,ELITE,-110,3,WIN,2.73,41.7,41.7,-8.85,0,0,-10.5,Y,CUT,CUT,CUT,CUT,CUT,f2f960:42%
378,2026-07-05,MLB,total,2026-07-05_MLB_phi_kcr_total,Over 10.5,A,TOP,PREMIUM,-106,4,LOSS,-4,63.8,67.6,1.26,2,2,,N,KEEP,KEEP,KEEP,KEEP,KEEP,"cd2f63:56%,4b912c:69%,5b1e50:66%"
379,2026-07-05,MLB,total,2026-07-05_MLB_sfg_col_total,Over 12.5,A,TOP+,PREMIUM,101,2.5,PUSH,0,62.7,71.9,-0.2,3,3,,N,KEEP,KEEP,KEEP,KEEP,KEEP,"f2f960:42%,5b1e50:66%,70135d:65%,bc35e3:78%"
380,2026-07-05,MLB,total,2026-07-05_MLB_tbr_hou_total,Under 8.5,C,SHARP-PRIME,PREMIUM,-108,4,WIN,3.7,81.2,81.2,5.84,2,2,,N,KEEP,KEEP,KEEP,KEEP,KEEP,"a82a75:97%,70135d:65%"
381,2026-07-06,MLB,ml,2026-07-06_MLB_ari_sdp,Arizona Diamondbacks,A,TOP,LOCK,108,2.5,WIN,2.7,66.4,66.4,1.73,1,1,0.5,Y,KEEP,KEEP,KEEP,KEEP,KEEP,5b1e50:66%
382,2026-07-06,MLB,ml,2026-07-06_MLB_hou_wsh,Houston Astros,C,SHARP-PRIME,LOCK,115,2.5,LOSS,-2.5,58.8,58.8,2.31,1,1,-9.1,Y,CUT,CUT,CUT,CUT,CUT,"4c64aa:57%,ad88a3:61%"
383,2026-07-06,MLB,ml,2026-07-06_MLB_mil_stl,Milwaukee Brewers,C,SHARP-PRIME,WEAK,-118,4,WIN,3.39,62.7,62.7,-0.44,2,1,0.4,Y,KEEP,CUT,CUT,CUT,CUT,"eeabaf:65%,705ba1:60%"
384,2026-07-06,MLB,ml,2026-07-06_MLB_phi_kcr,Philadelphia Phillies,C,SHARP,WEAK,-210,3,LOSS,-3,64.7,87.1,2.1,6,5,-4.5,Y,KEEP,KEEP,KEEP,KEEP,CUT,"2f2a9e:52%,bc35e3:77%,0f9d74:70%,b839b3:51%,ab39ae:35%,705ba1:60%,a82a75:97%,40d814:73%,5b1e50:66%"
385,2026-07-06,SOC,ml,2026-07-06_SOC_bel_usa,United States,C,SHARP,WEAK,155,1.5,LOSS,-1.5,56.6,69.9,-0.54,4,5,2.3,Y,CUT,KEEP,KEEP,KEEP,KEEP,"cd2f63:56%,c2aeea:60%,fea6f5:48%,946418:70%,0f9d74:70%,1aef79:33%,2f2a9e:52%,5b1e50:66%,8da2ca:40%,bc44b0:68%,c911a4:59%"
386,2026-07-06,SOC,ml,2026-07-06_SOC_esp_por,Spain,C,SHARP,WEAK,-102,3,WIN,2.94,54.2,74.9,3.82,7,8,16,Y,CUT,KEEP,KEEP,KEEP,KEEP,"eeabaf:65%,e70853:62%,de3f67:58%,b839b3:51%,c911a4:59%,a8c991:60%,78e8f1:43%,ad88a3:61%,ad4d8b:83%,bc8b21:64%,8da2ca:40%,1aef79:33%,8bbab3:11%,5b1e50:66%"
387,2026-07-06,MLB,total,2026-07-06_MLB_nym_atl_total,Over 9.5,A,TOP,ELITE,-110,4,WIN,3.64,65.5,65.5,3.13,1,1,,N,KEEP,KEEP,KEEP,KEEP,KEEP,eeabaf:65%
388,2026-07-07,MLB,ml,2026-07-07_MLB_atl_pit,Atlanta Braves,C,SHARP,PREMIUM,128,2.5,LOSS,-2.5,58.9,58.9,1.87,1,1,-10.9,Y,CUT,CUT,CUT,CUT,CUT,"eeabaf:66%,a10ff5:52%"
389,2026-07-07,MLB,ml,2026-07-07_MLB_col_lad,Los Angeles Dodgers,C,SHARP-PRIME,LOCK,-310,4,LOSS,-4,62.5,70.1,0.79,2,1,-10.6,Y,KEEP,KEEP,CUT,CUT,CUT,"c668b3:59%,b839b3:51%,a0d6d2:60%,0cd77e:80%"
390,2026-07-07,MLB,ml,2026-07-07_MLB_phi_cin,Philadelphia Phillies,B,RANK,PREMIUM,-168,4,WIN,2.38,56.9,56.9,2.11,1,1,5.8,Y,CUT,CUT,CUT,CUT,CUT,"2f2a9e:53%,ad88a3:61%"
391,2026-07-07,MLB,ml,2026-07-07_MLB_sea_mia,Seattle Mariners,C,SHARP-PRIME,LEAN,105,2.5,LOSS,-2.5,63.9,67.4,0.17,4,3,1.9,Y,KEEP,KEEP,KEEP,KEEP,KEEP,"4b912c:69%,5b1e50:66%,70135d:65%,705ba1:59%,a0d6d2:60%"
392,2026-07-07,SOC,ml,2026-07-07_SOC_egy_arg,Argentina,C,SHARP-PRIME,WEAK,-300,4,WIN,1.33,54.9,79.3,2.13,1,2,-3,Y,CUT,KEEP,KEEP,KEEP,CUT,"c29d59:100%,c911a4:59%,955c26:50%,78e8f1:43%,138d9b:23%"
393,2026-07-07,MLB,spread,2026-07-07_MLB_atl_pit_spread,Atlanta Braves,C,SHARP,LEAN,-167,3,LOSS,-3,62.5,62.5,0.93,1,1,,N,KEEP,CUT,CUT,CUT,CUT,"cd2f63:56%,4b912c:69%"
394,2026-07-07,MLB,spread,2026-07-07_MLB_col_lad_spread,Colorado Rockies,A,TOP+,LOCK,128,2.5,WIN,3.2,68.4,78.7,0.06,2,2,17.1,Y,KEEP,KEEP,KEEP,KEEP,KEEP,"bc35e3:77%,f2f960:48%,0cd77e:80%"
395,2026-07-07,MLB,total,2026-07-07_MLB_hou_wsh_total,Under 9.5,A,MINI-,LEAN,-113,1,WIN,0.88,65.7,65.7,3.09,1,1,7.1,Y,KEEP,KEEP,KEEP,KEEP,KEEP,eeabaf:66%
396,2026-07-07,MLB,total,2026-07-07_MLB_laa_tex_total,Under 7.5,A,MINI,PREMIUM,-105,3,LOSS,-3,64.1,65.6,3.34,3,3,-4.7,Y,KEEP,KEEP,KEEP,KEEP,CUT,"eeabaf:66%,70135d:65%,ad88a3:61%"
397,2026-07-07,MLB,total,2026-07-07_MLB_mil_stl_total,Over 7.5,C,SHARP-PRIME,LOCK,-110,4,LOSS,-4,73.3,73.3,2.52,2,2,,N,KEEP,KEEP,KEEP,KEEP,KEEP,"7da3d5:67%,0cd77e:80%"
398,2026-07-08,MLB,ml,2026-07-08_MLB_cle_min,Cleveland Guardians,A,TOP,LOCK,110,2.5,LOSS,-2.5,53.8,53.8,-0.95,0,0,-15.4,Y,CUT,CUT,CUT,CUT,CUT,"4c64aa:58%,f2f960:50%"
399,2026-07-08,MLB,ml,2026-07-08_MLB_col_lad,Los Angeles Dodgers,A,TOP+,LOCK,-255,5,WIN,1.96,81.3,81.3,11.29,1,1,31.3,Y,KEEP,KEEP,KEEP,KEEP,KEEP,0cd77e:81%
400,2026-07-08,MLB,ml,2026-07-08_MLB_tor_sfg,San Francisco Giants,A,TOP,LEAN,110,2.5,LOSS,-2.5,65.5,65.6,2.68,4,3,9,Y,KEEP,KEEP,KEEP,KEEP,KEEP,"4b912c:66%,5b1e50:66%,70135d:65%,9a69c2:65%"
401,2026-07-08,MLB,spread,2026-07-08_MLB_atl_pit_spread,Atlanta Braves,C,SHARP,LEAN,162,1.5,WIN,2.43,62.5,65.6,0.94,2,1,,N,KEEP,KEEP,CUT,CUT,KEEP,"cd2f63:56%,4b912c:66%,5b1e50:66%"
402,2026-07-08,MLB,spread,2026-07-08_MLB_col_lad_spread,Colorado Rockies,A,TOP,LOCK,110,2.5,WIN,2.75,56.4,56.4,-0.65,1,1,,N,CUT,CUT,CUT,CUT,CUT,"f2f960:50%,8ec926:63%"
403,2026-07-08,MLB,spread,2026-07-08_MLB_oak_det_spread,Detroit Tigers,C,SHARP,WEAK,139,2.5,WIN,3.47,65.6,65.6,4.33,1,1,-0.1,Y,KEEP,KEEP,CUT,CUT,CUT,"f2f960:50%,0cd77e:81%"
404,2026-07-08,MLB,total,2026-07-08_MLB_chc_bal_total,Over 9.5,B,RANK,WEAK,-114,4,WIN,3.51,62.5,74,6.29,2,2,-0.3,Y,KEEP,KEEP,KEEP,KEEP,CUT,"aa9fb4:67%,f2f960:50%,a10ff5:52%,0cd77e:81%"
405,2026-07-08,MLB,total,2026-07-08_MLB_col_lad_total,Under 10,B,RANK,LOCK,-104,4,WIN,3.85,65.6,65.6,1.75,3,2,,N,KEEP,KEEP,KEEP,KEEP,KEEP,"4b912c:66%,5b1e50:66%,70135d:65%"
406,2026-07-09,MLB,ml,2026-07-09_MLB_ari_sdp,Arizona Diamondbacks,A,MINI,ELITE,110,2.5,WIN,2.75,71.3,71.3,3.83,2,2,,N,KEEP,KEEP,KEEP,KEEP,KEEP,"0f9d74:70%,0cd77e:72%"
407,2026-07-09,MLB,ml,2026-07-09_MLB_col_sfg,San Francisco Giants,A,MINI-,ELITE,-132,1,WIN,0.76,59.5,59.5,-0.12,0,0,,N,CUT,CUT,CUT,CUT,CUT,f2f960:60%
408,2026-07-09,SOC,ml,2026-07-09_SOC_mar_fra,France,A,SUPER,ELITE,-170,6,WIN,3.53,45.3,63.9,-2.72,1,2,-5.7,Y,CUT,CUT,CUT,CUT,CUT,"8366f5:37%,348973:71%,de3f67:56%,fea6f5:40%,7a4cdf:27%,a190ea:50%,8da2ca:36%"
409,2026-07-09,MLB,spread,2026-07-09_MLB_atl_pit_spread,Atlanta Braves,C,SHARP,LEAN,140,2.5,WIN,3.5,63.3,65.6,1.52,3,3,,N,KEEP,KEEP,KEEP,KEEP,KEEP,"4b912c:65%,5b1e50:66%,70135d:65%,cd2f63:56%"
410,2026-07-09,MLB,spread,2026-07-09_MLB_phi_cin_spread,Philadelphia Phillies,B,RANK,LEAN,-105,4,LOSS,-4,61,61,1.64,1,1,,N,KEEP,CUT,CUT,CUT,CUT,"cd2f63:56%,70135d:65%"
411,2026-07-09,MLB,total,2026-07-09_MLB_chc_bal_total,Over 9.5,A,TOP,LOCK,100,4,LOSS,-4,64,65.6,1.38,3,3,7.5,Y,KEEP,KEEP,KEEP,KEEP,KEEP,"f2f960:60%,4b912c:65%,5b1e50:66%,70135d:65%"
412,2026-07-09,MLB,total,2026-07-09_MLB_mil_stl_total,Over 8.5,A,TOP+,LEAN,-102,5,WIN,4.9,72.4,72.4,5.76,1,1,14.8,Y,KEEP,KEEP,KEEP,KEEP,KEEP,0cd77e:72%
413,2026-07-10,MLB,ml,2026-07-10_MLB_cle_mia,Cleveland Guardians,A,TOP,ELITE,107,2.5,WIN,2.68,79.1,83.5,5.22,3,3,,N,KEEP,KEEP,KEEP,KEEP,KEEP,"bc35e3:77%,0f9d74:70%,a82a75:90%"
414,2026-07-10,MLB,ml,2026-07-10_MLB_oak_cws,Chicago White Sox,A,TOP+,LEAN,-178,5,WIN,2.81,63.7,66.8,1.86,2,1,-1.8,Y,KEEP,KEEP,KEEP,KEEP,CUT,"4c64aa:58%,705ba1:60%,0cd77e:74%"
415,2026-07-10,MLB,ml,2026-07-10_MLB_phi_det,Detroit Tigers,A,SUPER,ELITE,-118,6,WIN,5.08,67.7,71.2,3.97,5,5,14.6,Y,KEEP,KEEP,KEEP,KEEP,KEEP,"ac9705:69%,0cd77e:74%,4b912c:65%,70135d:65%,9a69c2:65%"
416,2026-07-10,MLB,ml,2026-07-10_MLB_sea_tbr,Seattle Mariners,A,TOP+,LEAN,108,2.5,LOSS,-2.5,64.3,69.6,2.05,4,4,-0.6,Y,KEEP,KEEP,KEEP,KEEP,CUT,"12ad50:67%,c9bba3:53%,bc44b0:69%,ac9705:69%,0f9d74:70%,4c64aa:58%"
417,2026-07-10,MLB,spread,2026-07-10_MLB_atl_stl_spread,St. Louis Cardinals,A,TOP,PREMIUM,-123,4,WIN,3.25,59.1,59.1,-0.1,0,0,-7.8,Y,CUT,CUT,CUT,CUT,CUT,f2f960:59%
418,2026-07-10,MLB,spread,2026-07-10_MLB_oak_cws_spread,Athletics,A,TOP+,PREMIUM,-137,5,LOSS,-5,66.3,66.3,3.72,1,1,,N,KEEP,KEEP,KEEP,KEEP,KEEP,"f2f960:59%,0cd77e:74%"
419,2026-07-10,MLB,total,2026-07-10_MLB_cle_mia_total,Under 7.5,A,TOP,ELITE,-110,4,WIN,3.64,73.5,73.5,7.55,1,1,,N,KEEP,KEEP,KEEP,KEEP,KEEP,0cd77e:74%
420,2026-07-10,MLB,total,2026-07-10_MLB_nyy_wsh_total,Over 10.5,A,TOP+,LOCK,-104,5,LOSS,-5,66.6,67.2,2.27,3,3,1,Y,KEEP,KEEP,KEEP,KEEP,KEEP,"ac9705:69%,4b912c:65%,70135d:65%"
421,2026-07-11,MLB,ml,2026-07-11_MLB_bos_nym,New York Mets,B,RANK,LEAN,-144,4,LOSS,-4,67.1,67.1,2.35,1,1,,N,KEEP,KEEP,CUT,CUT,KEEP,"bc35e3:77%,4c64aa:57%"
422,2026-07-11,MLB,ml,2026-07-11_MLB_hou_tex,Texas Rangers,C,SHARP,PREMIUM,-117,3,LOSS,-3,76.9,76.9,6.74,2,2,,N,KEEP,KEEP,KEEP,KEEP,KEEP,"7da3d5:65%,a82a75:89%"
423,2026-07-11,MLB,ml,2026-07-11_MLB_nyy_wsh,Washington Nationals,B,RANK,LOCK,165,4,LOSS,-4,74.6,79.3,5.21,3,3,,Y,KEEP,KEEP,KEEP,KEEP,KEEP,"0f9d74:70%,7da3d5:65%,a82a75:89%"
424,2026-07-11,SOC,ml,2026-07-11_SOC_sui_arg,Argentina,C,SHARP-PRIME,ELITE,-145,4,LOSS,-4,30.8,33.9,-3.88,0,0,-15.2,Y,CUT,CUT,CUT,CUT,CUT,"7a4cdf:25%,a190ea:43%,138d9b:24%"
425,2026-07-11,MLB,total,2026-07-11_MLB_mil_pit_total,Over 8.5,C,SHARP,LEAN,-107,3,LOSS,-3,57.7,57.7,2.02,1,1,-4.8,Y,CUT,CUT,CUT,CUT,CUT,"7da3d5:65%,a10ff5:50%"
426,2026-07-12,MLB,ml,2026-07-12_MLB_atl_stl,St. Louis Cardinals,A,MINI,ELITE,-128,3,LOSS,-3,66.7,66.7,6.11,1,1,,N,KEEP,KEEP,KEEP,KEEP,KEEP,0cd77e:67%
427,2026-07-12,MLB,ml,2026-07-12_MLB_col_sfg,San Francisco Giants,A,MINI,ELITE,-145,3,WIN,2.07,66.7,66.7,6.11,1,1,,N,KEEP,KEEP,KEEP,KEEP,KEEP,0cd77e:67%
428,2026-07-12,MLB,ml,2026-07-12_MLB_mil_pit,Milwaukee Brewers,A,TOP,LEAN,106,2.5,LOSS,-2.5,,,,0,0,,Y,CUT,CUT,CUT,CUT,CUT,
429,2026-07-12,MLB,spread,2026-07-12_MLB_atl_stl_spread,St. Louis Cardinals,D,DISSENT,LEAN,168,1,LOSS,-1,66.7,66.7,6.11,1,1,4.2,Y,KEEP,KEEP,CUT,CUT,KEEP,0cd77e:67%
430,2026-07-12,MLB,total,2026-07-12_MLB_sea_tbr_total,Under 7.5,A,TOP,PREMIUM,-110,4,LOSS,-4,63.9,66.9,2.53,3,3,,N,KEEP,KEEP,KEEP,KEEP,KEEP,"bc44b0:67%,7da3d5:64%,f2f960:58%,0cd77e:67%"